latitude;longitude;GoPlaceIt_CL;PortalInmobiliario;Yapo
-33.4730225;-70.6687164;;1.0;
-33.4730072;-70.6333313;;1.0;
-33.472984;-70.65757;1.0;;
-33.4729767;-70.6688538;;1.0;
-33.4729766;-70.6577271;;;1.0
-33.4729576;-70.6687393;;2.0;
-33.4729004;-70.6498032;;1.0;
-33.4728753;-70.65799679999999;1.0;;
-33.472712523551;-70.638303368927;1.0;;
-33.4727125;-70.6383034;;1.0;
-33.47269;-70.64724;;5.0;
-33.4725175;-70.6333672;;2.0;
-33.472492;-70.668831;1.0;;
-33.4724756;-70.6705174;;1.0;
-33.4724183;-70.6496059;1.0;1.0;
-33.4724155;-70.640184;;2.0;
-33.4723816;-70.6677551;;17.0;
-33.4723778;-70.6401367;;1.0;
-33.472376;-70.639574;1.0;;
-33.4723429;-70.6689107;;1.0;
-33.4722023;-70.64962009999999;;1.0;
-33.47218;-70.64966;;;3.0
-33.4721718;-70.6678696;;1.0;
-33.4721631;-70.6689225;;2.0;
-33.4721451;-70.6483917;;1.0;
-33.472131551966;-70.668289685608;1.0;;
-33.472112;-70.6714668;;;2.0
-33.4720698;-70.6498973;;2.0;
-33.471947;-70.649902;1.0;;
-33.4719424;-70.6313637;;1.0;
-33.4718933;-70.6369247;;4.0;
-33.47188;-70.6552;1.0;;
-33.4718478;-70.6465066;;1.0;
-33.4718471;-70.6465826;;1.0;1.0
-33.4718285;-70.6684647;;6.0;
-33.4718;-70.62691;;;1.0
-33.4717798;-70.6546045;;1.0;
-33.471746;-70.651732;3.0;;
-33.471664;-70.633331;1.0;;
-33.4716492;-70.6716385;;1.0;
-33.4716136;-70.6264951;;;2.0
-33.4716031;-70.6389102;;2.0;
-33.4715691;-70.6516647;;15.0;
-33.47155;-70.65182;;;2.0
-33.4715447;-70.652132;;1.0;
-33.47154465603413;-70.65213203430176;;;1.0
-33.471544656034;-70.652132034302;1.0;;
-33.4715004;-70.6516571;;2.0;
-33.4714892;-70.6274368;;2.0;
-33.471489;-70.6516571;;2.0;
-33.471488;-70.654491;3.0;;
-33.4714879;-70.6278407;;1.0;
-33.4714203;-70.6513138;;3.0;
-33.4713745;-70.6541824;;1.0;
-33.4713254;-70.6299551;1.0;;
-33.4713249;-70.6299515;;1.0;
-33.4712758;-70.6610315;1.0;;
-33.4712758;-70.66103149999999;;;2.0
-33.4712639;-70.6513519;;2.0;
-33.4712569;-70.66090650000001;;;1.0
-33.4712569;-70.6609065;4.0;;2.0
-33.4712136;-70.627756;;;1.0
-33.4711952;-70.66539;;1.0;
-33.4711723;-70.6267648;;5.0;
-33.471137501966;-70.650438628889;2.0;;
-33.4711375;-70.6504386;;2.0;
-33.471118;-70.6552667;;3.0;
-33.4711019;-70.648464;;2.0;
-33.471101880489;-70.648464042836;1.0;;
-33.4710999;-70.6486969;;1.0;
-33.4710784;-70.6470937;;1.0;
-33.47107757634058;-70.65105406903382;1.0;;
-33.471068;-70.648696;1.0;;
-33.4710579;-70.6485214;;4.0;
-33.47104347899559;-70.64784049987793;;;1.0
-33.47102;-70.64785;;;8.0
-33.471016;-70.648079;;;1.0
-33.4709969;-70.6523743;;1.0;
-33.4709816;-70.6478577;;1.0;
-33.47098;-70.6478554;1.0;2.0;2.0
-33.4709702;-70.6338882;;1.0;
-33.4709635;-70.6479051;2.0;2.0;1.0
-33.4709387;-70.6266251;;;1.0
-33.4709289;-70.654479;;1.0;
-33.4709084;-70.6482738;3.0;3.0;4.0
-33.4709076;-70.6480018;;1.0;
-33.470904;-70.647838;4.0;5.0;
-33.4709037684211;-70.64783816315787;2.0;;
-33.470903768421;-70.647838163158;;;1.0
-33.4709015;-70.6477966;;2.0;
-33.4709015;-70.6309967;;1.0;
-33.4708997;-70.6482025;;1.0;
-33.4708977;-70.648262;;5.0;
-33.4708977;-70.6464844;;1.0;
-33.4708975;-70.6482609;;2.0;2.0
-33.4708907;-70.6481167;;1.0;
-33.47089;-70.6479645;;4.0;
